1077172357	20211221	202112	2021	2021.9616	AFG	AFGHANISTAN	AFG								QAT	QATAR	QAT								0	100	100	10	3	-5.0	2	1	2	-2.95930949445129	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	20221221193000	https://www.whas11.com/article/news/nation-world/taliban-fighters-enforce-university-ban-afghanistan/507-a7adcd59-afeb-48ce-9e1e-1816541f7115
1077172358	20211221	202112	2021	2021.9616	GBR	LONDON	GBR																		0	1724	172	17	4	-5.0	6	1	6	-6.8421052631579	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20221221193000	https://www.foxbusiness.com/retail/san-francisco-businesses-demand-full-tax-refund-city-coping-area-controlled-drug-dealers
1077172359	20211221	202112	2021	2021.9616	GBR	LONDON	GBR								USA	UNITED STATES	USA								0	1724	172	17	4	-5.0	2	1	2	-6.8421052631579	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20221221193000	https://www.foxbusiness.com/retail/san-francisco-businesses-demand-full-tax-refund-city-coping-area-controlled-drug-dealers
1077172360	20211221	202112	2021	2021.9616	GOV	PRESIDENT						GOV			BUS	BUSINESS						BUS			0	020	020	02	1	3.0	3	1	3	5.47008547008547	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20221221193000	https://governor.maryland.gov/2022/12/21/maryland-board-of-public-works-approves-final-leases-to-move-state-agencies-to-downtown-baltimore/
1077172361	20211221	202112	2021	2021.9616	GOV	PRESIDENT						GOV			BUS	BUSINESS						BUS			0	020	020	02	1	3.0	2	1	2	5.47008547008547	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20221221193000	https://governor.maryland.gov/2022/12/21/maryland-board-of-public-works-approves-final-leases-to-move-state-agencies-to-downtown-baltimore/
1077172362	20211221	202112	2021	2021.9616	NGA	NIGERIA	NGA								EDU	SCHOOL						EDU			1	071	071	07	2	7.4	4	1	4	-0.18214936247723	4	Arochukwu, Abia, Nigeria	NI	NI45	191357	5.38979	7.91404	-2000435	4	Arochukwu, Abia, Nigeria	NI	NI45	191357	5.38979	7.91404	-2000435	4	Arochukwu, Abia, Nigeria	NI	NI45	191357	5.38979	7.91404	-2000435	20221221193000	https://www.nationalaccordnewspaper.com/unubiko-foundation-set-to-hand-over-renovated-school-court-others-to-community/
1077172363	20211221	202112	2021	2021.9616	TUR	TURKEY	TUR																		1	172	172	17	4	-5.0	4	1	4	-5.61497326203209	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	0								4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20221221193000	https://www.al-monitor.com/originals/2022/12/turkeys-media-board-fines-tv-chains-imamoglu-coverage
1077172364	20211221	202112	2021	2021.9616	TUR	TURKEY	TUR								COP	PRISON						COP			1	173	173	17	4	-5.0	4	1	4	-5.61497326203209	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20221221193000	https://www.al-monitor.com/originals/2022/12/turkeys-media-board-fines-tv-chains-imamoglu-coverage
1077172365	20211221	202112	2021	2021.9616	TURGOV	RECEP TAYYIP ERDOGAN	TUR					GOV													1	172	172	17	4	-5.0	6	1	6	-5.61497326203209	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	0								4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20221221193000	https://www.al-monitor.com/originals/2022/12/turkeys-media-board-fines-tv-chains-imamoglu-coverage
1077172366	20211221	202112	2021	2021.9616	TURGOV	RECEP TAYYIP ERDOGAN	TUR					GOV			COP	PRISON						COP			1	173	173	17	4	-5.0	6	1	6	-5.61497326203209	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20221221193000	https://www.al-monitor.com/originals/2022/12/turkeys-media-board-fines-tv-chains-imamoglu-coverage
